"ID","Work Item Type","Title","Objective/Description","Test Step","Step Action","Step Expected","Area Path","Assigned To","State","QA Status","QA Comment","Source HU ID","Coverage Tag","Technique/Heuristic","Origin"
"","Test Case","AC1 - Agota el tope mensual con Feature Flag ON","Validar el cálculo atómico, la actualización idempotente y el Toast cuando el pago consume todo el disponible.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","138124","AC1","Equivalence Partitioning","Heuristic"
"","","","","1","Activar la Feature Flag y configurar un disponible igual al reintegro calculado.","La configuración queda lista para agotar exactamente el tope.","","","","PENDING","","138124","AC1","",""
"","","","","2","Ejecutar el Pago QR y consultar la respuesta BFF y las tablas de consumo/deduplicación.","Se procesa con BigDecimal escala 2 y se actualizan consumo y deduplicación una sola vez.","","","","PENDING","","138124","AC1","",""
"","","","","3","Consultar la respuesta y abrir Resultado Exitoso en la App.","show_limit_reached_message=true; se devuelven exactamente ambos textos y se muestra el Toast azul.","","","","PENDING","","138124","AC1","",""
"","Test Case","AC2 - Queda disponible positivo","Validar que una operación que no agota el tope no muestra el mensaje de límite.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","138124","AC2","Equivalence Partitioning","Heuristic"
"","","","","1","Configurar una operación cuyo reintegro deje disponible mensual mayor a cero.","La operación cumple la partición de disponible positivo.","","","","PENDING","","138124","AC2","",""
"","","","","2","Ejecutar el Pago QR y revisar BFF, consumo y pantalla final.","El consumo se actualiza atómicamente; show_limit_reached_message=false; no se envían textos ni se muestra Toast/banner.","","","","PENDING","","138124","AC2","",""
"","Test Case","AC3 - Disponible cero antes del pago","Validar la denegación por tope y derivación al flujo tradicional.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","138124","AC3","Equivalence Partitioning","Heuristic"
"","","","","1","Configurar Feature Flag ON y disponible del MCC igual a cero antes de la transacción.","La precondición de AC3 queda cumplida.","","","","PENDING","","138124","AC3","",""
"","","","","2","Ejecutar el Pago QR y consultar estado, consumo y respuesta.","Se registra la denegación por tope y se deriva al flujo tradicional; el payload y código quedan a confirmar.","","","","PENDING","","138124","AC3","",""
"","Test Case","AC1 - Límite exacto y precisión monetaria","Validar el límite exacto sin desvíos por redondeo.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","138124","AC1","Boundary Value Analysis","Heuristic"
"","","","","1","Configurar disponible igual al reintegro con importes a escala 2 y ejecutar el pago.","El disponible queda en cero y el resultado se clasifica como AC1.","","","","PENDING","","138124","AC1","",""
"","","","","2","Repetir con un cálculo intermedio que requiera redondeo.","Se usa BigDecimal escala 2 sin desvío; la regla exacta de redondeo queda registrada para confirmación.","","","","PENDING","","138124","AC1","",""
"","Test Case","AC2 - Menor disponible positivo","Validar el límite inferior de la clase donde queda disponible mayor a cero.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","138124","AC2","Boundary Value Analysis","Heuristic"
"","","","","1","Configurar el menor disponible positivo representable a escala 2 y ejecutar el pago.","show_limit_reached_message=false y no se envían textos de límite.","","","","PENDING","","138124","AC2","",""
"","Test Case","AC1/AC2/AC3 - Matriz de Feature Flag y disponibilidad","Validar las combinaciones principales de encendido/apagado y disponibilidad.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","138124","AC1, AC2, AC3","Decision Table","Heuristic"
"","","","","1","Ejecutar las combinaciones ON+positivo, ON+agotado y ON+cero previo.","Se obtienen respectivamente AC2, AC1 y AC3.","","","","PENDING","","138124","AC1, AC2, AC3","",""
"","","","","2","Ejecutar las combinaciones OFF+positivo, OFF+agotado y OFF+cero previo.","Se valida el comportamiento de flag apagada, pendiente de definición en la HU.","","","","PENDING","","138124","AC1, AC2, AC3","",""
"","Test Case","AC1 - Transición a Resultado Exitoso","Validar la secuencia de estados del pago que agota el tope.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","138124","AC1","State Transition Testing","Heuristic"
"","","","","1","Iniciar Pago QR, completar procesamiento BFF y observar la App.","La operación llega a Resultado Exitoso; consumo y Toast son coherentes.","","","","PENDING","","138124","AC1","",""
"","Test Case","AC1/AC2/AC3 - Reintento con tx_id repetido","Validar que la idempotencia evita doble acreditación y doble consumo.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","138124","AC1, AC2, AC3","Error Guessing","Heuristic"
"","","","","1","Ejecutar una operación y repetir la solicitud con el mismo tx_id.","No se duplica acreditación, consumo ni registro lógico; la respuesta exacta del reintento queda a confirmar.","","","","PENDING","","138124","AC1, AC2, AC3","",""
"","Test Case","AC1/AC2/AC3 - Fallo de red durante actualización","Validar que una interrupción no deja acreditación y consumo inconsistentes.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","138124","AC1, AC2, AC3","Error Guessing","Heuristic"
"","","","","1","Interrumpir la conectividad durante el procesamiento y restaurarla antes de reintentar.","No queda una combinación inconsistente; la recuperación o error debe seguir el contrato definido.","","","","PENDING","","138124","AC1, AC2, AC3","",""
"","Test Case","AC1 - Navegación atrás desde Toast","Validar que volver al comprobante no repite la acreditación ni el consumo.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","138124","AC1","Exploratory/LLM","Exploratory"
"","","","","1","Completar un pago que agota el tope, volver desde Resultado Exitoso y abrir nuevamente el comprobante.","No se duplica la operación; la persistencia visual del Toast queda a confirmar.","","","","PENDING","","138124","AC1","",""
"","Test Case","AC1/AC2 - Cierre de App antes de renderizar respuesta","Validar que el ciclo de vida móvil no pierda ni duplique el estado del pago.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","138124","AC1, AC2","Exploratory/LLM","Exploratory"
"","","","","1","Cerrar y reabrir la App inmediatamente después de recibir la respuesta BFF.","El estado y consumo permanecen coherentes; la persistencia del Toast queda a confirmar.","","","","PENDING","","138124","AC1, AC2","",""
"","Test Case","AC1/AC2 - Reinicio de Job Batch durante Pago","Validar que el proceso diferido no duplique el resultado transaccional del BFF.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","138124","AC1, AC2","Exploratory/LLM","Exploratory"
