"ID","Work Item Type","Title","Objective","Description","Test Step","Step Action","Step Expected","Area Path","Assigned To","State","QA Status","QA Comment","Source HU ID","Coverage Tag","Technique/Heuristic","Origin","BComplejidad","BPrioridadTC"
"","Test Case","001 - BI - MB - HOME - BEC - Iniciar sesion offline con usuario BEC activo","Validar el acceso offline de un usuario BEC activo.","Comprueba la pantalla de sin conexion y el acceso a Pagos QR Offline.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC1","Equivalence Partitioning","Heuristic","3 - Baja","1 - Alta"
"","","","","","1","Abrir Bezza sin conectividad y observar la validacion online.","La validacion online falla por falta de conexion y la aplicacion permite continuar con la sesion offline. No debe exigir una respuesta online.","","","","","","","","","","",""
"","","","","","2","Iniciar la sesion offline con un usuario BEC activo y observar la pantalla.","Se muestra la Pantalla 10.1 - Sin Conexion. No debe enviarse al usuario a la pantalla sin BEC.","","","","","","","","","",""
"","","","","","3","Tocar el boton de acceso a Pagos QR Offline.","El acceso a Pagos QR Offline queda visible y navegable. No debe omitirse el acceso.","","","","","","","","","",""
"","Test Case","002 - BI - MB - HOME - BEC - Redirigir usuario sin BEC en modo offline","Validar el tratamiento de un usuario que no es beneficiario BEC activo.","Comprueba la redireccion a la pantalla especifica de usuario sin BEC.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC3","Equivalence Partitioning","Heuristic","3 - Baja","2 - Media"
"","","","","","1","Abrir Bezza sin conectividad con un usuario no beneficiario BEC activo.","La aplicacion detecta la ausencia de elegibilidad BEC. No debe presentar al usuario como BEC activo.","","","","","","","","","","",""
"","","","","","2","Intentar iniciar la sesion offline y observar la pantalla de destino.","Se muestra la Pantalla 10.2 - Sin Conexion - usuario sin BEC. No debe mostrar el acceso protegido a BEC.","","","","","","","","","",""
"","Test Case","003 - BI - MB - HOME - BEC - Diferenciar apertura con y sin conectividad","Validar la condicion de conectividad que habilita el flujo offline.","Compara la apertura con conectividad y sin conectividad, dejando pendiente el comportamiento online no definido.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC1","Positive / Negative Testing","Heuristic","3 - Baja","2 - Media"
"","","","","","1","Abrir Bezza con conectividad disponible y observar si aparece el flujo offline.","El AC1 no define que deba mostrarse el flujo offline con conectividad; registrar el comportamiento sin asumir una regla online.","","","","","","","","","","",""
"","","","","","2","Repetir la apertura sin conectividad y comparar la navegacion.","Se activa el flujo offline descrito por AC1 para el usuario elegible. No debe confundirse la condicion de conectividad.","","","","","","","","","",""
"","Test Case","004 - BI - MB - HOME - BEC - Generar QR con todas las validaciones exitosas","Validar la generacion principal de un QR de transporte.","Comprueba biometria, datos cacheados, certificado, set biometrico, cupo, pantalla QR y cuenta regresiva.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC2","Decision Tables","Heuristic","3 - Baja","1 - Alta"
"","","","","","1","Desde la Pantalla 10.1 tocar el acceso a Boleto Educativo Cordobes.","Se inicia el flujo protegido. No debe mostrarse el QR antes de la biometria.","","","","","","","","","","",""
"","","","","","2","Completar exitosamente la autenticacion biometrica.","La biometria se valida y se procesan los datos persistidos, certificado vigente de hasta 12 horas, set sin mutar y cupo disponible.","","","","","","","","","",""
"","","","","","3","Observar la navegacion posterior y la trama construida.","La trama del QR se construye con datos cacheados. No debe usar datos nuevos no disponibles offline.","","","","","","","","","",""
"","","","","","4","Verificar la Pantalla 10.3 y el contador visible.","Se muestra el QR Transporte con cuenta regresiva de 90 segundos. No debe omitirse el contador.","","","","","","","","","",""
"","Test Case","005 - BI - MB - HOME - BEC - Bloquear acceso ante error biometrico","Validar que un error biometrico no permita acceder al flujo protegido.","Comprueba el bloqueo del acceso y la ausencia de QR ante biometria fallida.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC4","Decision Tables","Heuristic","3 - Baja","1 - Alta"
"","","","","","1","Desde la Pantalla 10.1 tocar el acceso a Boleto Educativo Cordobes.","Se solicita la autenticacion biometrica. No debe abrirse la Pantalla 10.3.","","","","","","","","","","",""
"","","","","","2","Provocar o informar un error en la validacion biometrica.","La autenticacion falla y el acceso al flujo protegido permanece bloqueado.","","","","","","","","","",""
"","","","","","3","Observar la pantalla y el estado del acceso.","No se muestra un QR. Mensaje, reintentos y navegacion posterior quedan como gap y deben registrarse.","","","","","","","","","",""
